Alberi dietro
0, 3
1, 3
2, 3
3, 3
4, 3
5, 3
6, 3
7, 3
8, 3
9, 3
10, 3
11, 3
12, 3
13, 3
14, 3
15, 3
16, 3
17, 3
18, 3
19, 3
20, 3
21, 3
22, 3
23, 3
24, 3
25, 3
26, 3
27, 3
28, 3 
29, 3

Arco cinese
5, 15
7, 15

Coso armi
26, 17
27, 17

Stendardo 
21, 17

Dojo
22, 17
23, 17
24, 17
25, 17
22, 16
23, 16
24, 16
25, 16
22, 15
23, 15
24, 15
25, 15

Recinti casa sinistra
3, 4
3, 5
3, 6
3, 7
3, 8
4, 8
5, 8
7, 8
8, 8
9, 8
10, 8
10, 7
10, 6
10, 5
10, 4

Recinti casa centro
14, 4
14, 5
14, 6
14, 7
14, 8
15, 8
16, 8
17, 8
18, 8
19, 8
20, 8
21, 8
21, 7
21, 6
21, 5
21, 4

Recinto ramen shop
22, 4
22, 5
22, 6
22, 7
22, 8
23, 8
24, 8
25, 8
26, 8
28, 8
29, 8
29, 7
29, 6
29, 5
29, 4

Oggetti edifici
4, 7
9, 7
15, 4
20, 7
20, 4
28 ,7
25, 6
25, 5
25, 4
24, 4
23, 4

Tronchi tagliati
12, 4
1, 5

Case
5, 6
6, 6
7, 6
8, 6
5, 5
6, 5
7, 5
8, 5
5, 4
6, 4
7, 4
8, 4

16, 6
17, 6
18, 6
19, 6
16, 5
17, 5
18, 5
19, 5
16, 4
17, 4
18, 4
19, 4

26, 6
27, 6
28, 6
26, 5
27, 5
28, 5
26, 4
27, 4
28, 4

Campo Girasoli
10, 13
11, 13
12, 13
13, 13
10, 14
10, 15
11, 15
12, 15
13, 15
13, 14
